School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,Opp. ORtg,Opp. FTr,Opp. 3PAr,Opp. TS%,Opp. TRB%,Opp. AST%,Opp. STL%,Opp. BLK%,Opp. eFG%,Opp. TOV%,Opp. ORB%,Opp. FT/FGA
Colgate,22,15,7,.682,1.18,-5.01,9,0,6,2,8,3,1722,1559,68.8,103.0,.223,.369,.551,48.6,51.4,9.2,8.7,.531,16.7,24.3,.157
College of Charleston,22,21,1,.955,8.05,-3.05,9,0,13,0,8,1,1761,1499,70.8,95.2,.231,.323,.511,45.9,47.2,8.3,11.2,.489,17.6,26.1,.154
Colorado,21,12,9,.571,12.27,6.60,4,6,9,2,1,5,1517,1398,71.3,93.4,.317,.338,.505,46.3,42.6,11.3,11.0,.471,18.1,25.1,.221
Colorado State,21,10,11,.476,5.97,4.27,2,6,7,4,2,5,1567,1490,67.6,103.1,.302,.430,.550,52.9,47.9,8.4,9.1,.519,17.1,26.5,.219
Columbia,21,6,15,.286,-14.27,-2.95,1,5,5,7,1,8,1412,1534,70.0,103.2,.240,.380,.532,51.8,58.1,9.7,11.7,.510,16.8,32.2,.166


Connecticut,22,16,6,.727,21.48,6.53,5,6,11,2,2,4,1745,1416,70.1,91.9,.410,.280,.500,44.4,39.9,9.0,8.6,.446,18.4,24.7,.304
Coppin State,22,6,16,.273,-12.75,-0.43,1,4,4,3,2,13,1616,1887,74.2,112.9,.347,.408,.566,58.3,57.5,9.6,10.7,.537,15.8,36.6,.245
Cornell,19,14,5,.737,3.93,-3.60,4,2,8,1,6,4,1617,1410,72.7,102.0,.257,.385,.552,49.5,58.0,9.3,9.7,.527,19.5,30.0,.185
Creighton,20,12,8,.600,18.32,8.92,6,3,9,1,1,4,1554,1366,70.7,96.6,.183,.293,.496,47.6,48.2,7.5,8.1,.474,13.7,23.8,.130
Dartmouth,20,7,13,.350,-8.38,-2.55,3,3,4,3,3,8,1404,1396,70.9,97.2,.308,.326,.514,50.3,42.3,11.8,9.1,.479,15.8,25.6,.220
Davidson,20,10,10,.500,1.26,1.15,3,5,5,4,3,5,1401,1376,67.1,100.6,.280,.376,.517,51.8,47.7,9.6,10.8,.491,15.8,29.8,.190
Dayton,21,13,8,.619,8.90,0.95,5,3,10,1,2,4,1434,1267,65.1,92.1,.229,.390,.466,45.6,45.3,10.0,6.6,.438,14.5,26.6,.157
Delaware,21,11,10,.524,-3.00,-1.80,3,5,7,3,2,7,1470,1470,67.7,102.9,.278,.344,.538,52.2,53.9,9.4,8.7,.508,16.9,29.7,.202
Delaware State,18,2,16,.111,-17.85,-1.47,1,4,1,4,1,12,1136,1367,68.3,110.4,.402,.456,.586,51.8,65.8,11.7,8.0,.557,17.7,31.3,.283
Denver,22,12,10,.545,-8.32,-5.52,3,6,6,3,4,7,1639,1662,69.1,106.9,.259,.408,.551,46.4,52.3,9.5,9.6,.519,14.4,26.6,.198
DePaul,21,9,12,.429,2.62,5.95,3,7,7,3,2,7,1503,1573,70.1,105.6,.362,.337,.540,53.9,50.5,9.9,9.0,.505,16.1,33.4,.254
Detroit Mercy,21,8,13,.381,-4.31,-1.86,4,6,5,3,3,9,1593,1614,67.6,112.3,.286,.375,.565,49.8,48.7,9.5,7.3,.531,14.3,31.8,.222
Drake,22,16,6,.727,5.46,-1.45,7,4,10,1,2,5,1624,1403,67.9,92.9,.269,.391,.499,47.5,43.3,8.2,6.8,.467,16.9,22.5,.192
Drexel,20,12,8,.600,-0.04,-4.88,6,2,9,2,2,4,1352,1220,63.9,94.2,.233,.299,.500,48.0,47.4,8.3,8.4,.472,17.1,26.2,.167
Duke,20,14,6,.700,13.97,6.07,5,4,10,0,1,4,1443,1285,66.5,96.5,.246,.344,.506,43.9,48.3,9.0,9.9,.471,15.8,26.0,.187
Duquesne,21,14,7,.667,4.16,-0.13,4,4,12,3,1,4,1554,1464,68.0,102.2,.323,.353,.524,49.4,54.4,8.4,9.1,.493,17.1,33.8,.222
East Carolina,21,11,10,.524,-1.57,-1.66,2,6,7,4,1,5,1457,1455,68.1,101.7,.335,.344,.523,47.5,48.6,9.3,9.8,.490,15.2,28.5,.232
East Tennessee State,22,8,14,.364,-5.93,-4.88,4,5,3,8,4,5,1531,1502,67.9,99.9,.252,.433,.525,47.7,49.1,11.2,6.6,.496,16.7,28.3,.184
Eastern Illinois,21,7,14,.333,-13.15,-4.68,3,5,5,5,2,8,1433,1482,71.4,98.8,.338,.431,.534,53.4,59.2,9.4,8.8,.502,19.9,32.2,.236
Eastern Kentucky,21,13,8,.619,-2.34,-0.12,6,2,9,1,3,6,1673,1529,74.5,97.8,.268,.391,.519,48.5,55.6,9.3,7.5,.485,18.3,30.0,.200


Eastern Michigan,20,4,16,.200,-12.37,-1.89,1,6,3,5,1,8,1445,1635,71.2,114.0,.388,.417,.591,53.7,44.6,9.4,7.0,.563,15.1,30.5,.273
Eastern Washington,21,14,7,.667,0.19,-1.36,8,0,7,1,5,5,1590,1483,69.8,101.2,.293,.441,.526,46.2,49.4,9.5,6.7,.491,15.4,25.2,.217
Elon,20,2,18,.100,-13.17,-1.62,0,7,2,6,0,10,1311,1462,68.6,106.6,.293,.428,.540,53.2,54.7,9.2,9.9,.514,15.5,31.7,.203
Evansville,22,4,18,.182,-13.71,-0.53,0,11,2,7,1,9,1363,1653,69.3,108.5,.303,.410,.581,53.7,57.2,9.3,6.7,.549,16.2,24.8,.231
Fairfield,19,9,10,.474,-5.26,-3.82,5,4,5,3,2,6,1230,1215,65.4,97.1,.281,.299,.497,49.7,43.2,9.8,10.8,.465,15.5,29.4,.196
Fairleigh Dickinson,22,12,10,.545,-11.42,-9.47,5,2,6,3,5,6,1720,1670,71.0,105.6,.321,.420,.584,49.9,55.6,8.3,9.3,.558,19.9,28.8,.231
Florida,20,12,8,.600,13.30,5.60,5,3,7,3,3,2,1455,1301,70.1,92.8,.281,.312,.481,50.4,46.9,9.5,7.9,.447,16.2,28.0,.196
Florida A&M,18,3,15,.167,-18.50,-0.37,1,6,3,2,0,13,1012,1286,66.4,106.8,.443,.362,.544,53.9,52.7,13.2,12.5,.510,16.5,36.1,.297
Florida Atlantic,20,19,1,.950,11.86,-0.53,9,0,11,0,8,1,1549,1268,68.5,92.0,.270,.329,.487,45.2,36.0,8.8,6.6,.454,16.4,23.8,.192
Florida Gulf Coast,21,14,7,.667,-0.53,-2.03,4,4,7,1,4,6,1475,1401,66.6,99.6,.284,.409,.511,48.7,52.5,10.0,10.5,.484,15.8,28.8,.191
Florida International,20,9,11,.450,-5.41,-0.69,3,6,8,4,1,7,1433,1492,71.4,103.2,.275,.413,.546,54.0,54.8,11.5,8.9,.515,19.4,34.6,.204
Florida State,21,7,14,.333,1.39,6.05,5,5,5,6,2,4,1455,1553,68.7,107.5,.293,.393,.547,52.4,56.8,7.4,7.2,.515,14.9,31.8,.217
Fordham,20,16,4,.800,1.15,-3.75,4,3,12,2,4,2,1442,1344,70.2,95.1,.329,.317,.505,48.0,48.5,9.0,9.0,.462,17.1,26.1,.244
Fresno State,19,7,12,.368,1.69,4.53,3,5,5,3,2,6,1158,1196,63.7,98.8,.289,.394,.531,51.2,51.3,9.0,8.7,.497,17.9,27.0,.212
Furman,22,16,6,.727,3.41,-3.12,7,2,9,2,5,2,1821,1606,71.1,101.6,.302,.363,.548,48.2,46.1,8.9,8.4,.521,17.3,25.3,.210
Gardner-Webb,21,10,11,.476,-3.19,-3.25,5,4,5,3,4,8,1496,1358,67.9,94.1,.414,.381,.515,47.4,50.3,8.9,7.7,.467,18.7,24.6,.299
George Mason,21,12,9,.571,3.39,0.73,4,4,10,1,1,5,1482,1426,68.1,99.1,.309,.363,.513,47.1,43.8,10.7,8.1,.482,14.8,25.0,.212
George Washington,20,11,9,.550,0.59,-0.88,5,2,9,3,2,3,1528,1473,69.6,105.1,.272,.389,.533,50.3,53.0,9.5,6.2,.512,14.4,29.5,.181
Georgetown,21,6,15,.286,-1.29,4.81,1,9,5,7,0,7,1519,1647,69.7,111.1,.251,.404,.562,49.7,59.2,12.0,6.3,.536,13.8,29.5,.186
Georgia,20,13,7,.650,5.54,2.24,3,4,10,1,1,5,1392,1326,68.4,96.9,.262,.353,.495,46.7,52.4,10.2,10.6,.465,15.0,28.1,.182


Georgia Southern,21,12,9,.571,-3.80,-2.08,5,3,8,4,3,5,1432,1370,66.9,96.9,.291,.376,.519,48.7,48.6,8.6,6.3,.493,17.8,25.9,.195
Georgia State,20,9,11,.450,-3.05,-1.28,2,6,9,5,0,6,1337,1285,67.3,94.8,.306,.335,.500,47.6,48.9,10.0,9.7,.467,16.3,28.2,.212
Georgia Tech,20,8,12,.400,2.21,5.52,1,9,7,5,1,5,1378,1411,68.3,102.6,.305,.343,.516,50.3,56.0,8.8,8.8,.487,14.2,30.9,.208
Gonzaga,21,17,4,.810,17.18,7.58,6,1,9,1,4,1,1817,1547,73.7,100.0,.267,.379,.539,46.1,45.6,7.6,5.9,.509,17.5,24.5,.196
Grambling,19,12,7,.632,-4.67,-4.85,5,2,6,0,5,6,1310,1223,70.1,91.9,.408,.419,.493,47.7,55.8,10.8,8.8,.449,18.8,29.1,.279
Grand Canyon,20,13,7,.650,6.22,1.77,4,3,10,2,2,3,1460,1272,65.9,95.3,.305,.328,.481,46.7,42.7,8.2,8.5,.447,15.2,29.2,.209
Green Bay,21,2,19,.095,-20.07,-2.17,1,9,2,6,0,11,1247,1623,66.4,116.4,.336,.330,.589,56.7,45.5,11.6,10.8,.554,14.4,34.0,.257
Hampton,20,4,16,.200,-15.16,-3.16,1,7,3,4,1,9,1367,1566,70.4,111.2,.375,.383,.568,53.6,54.4,8.0,9.9,.543,14.2,31.0,.251
Hartford,22,5,17,.227,-22.67,-7.88,5,6,0,9,1422,1558,67.1,105.6,.237,.391,.550,51.5,59.5,10.4,8.1,.528,16.2,29.9,.166
Harvard,20,12,8,.600,0.31,-2.08,3,3,5,3,6,4,1358,1293,67.6,94.4,.231,.374,.499,46.3,46.4,10.1,8.5,.472,16.2,24.4,.164
Hawaii,20,15,5,.750,4.23,-1.83,6,2,10,2,2,2,1363,1224,65.7,92.0,.276,.265,.469,47.7,29.3,8.8,9.4,.429,15.3,28.0,.204
High Point,21,10,11,.476,-9.19,-4.76,2,7,7,4,1,7,1608,1637,74.8,104.1,.324,.395,.517,50.4,55.1,10.5,9.3,.486,14.5,32.9,.221
Hofstra,21,13,8,.619,2.80,0.60,6,2,6,1,5,5,1528,1436,68.5,99.2,.233,.364,.504,52.6,50.7,8.8,9.3,.481,15.7,31.1,.157
Holy Cross,22,7,15,.318,-12.61,-5.06,4,5,5,6,2,7,1453,1556,68.5,102.6,.289,.357,.527,53.6,49.3,10.0,9.0,.502,15.8,30.0,.195
Houston,21,19,2,.905,25.29,4.10,7,1,11,2,6,0,1584,1139,64.5,84.1,.332,.462,.455,44.5,52.8,8.3,7.1,.407,20.1,28.1,.239
Houston Christian,20,7,13,.350,-16.87,-4.63,4,3,6,5,1,8,1574,1661,74.5,110.7,.331,.343,.589,49.9,51.6,10.9,8.8,.562,17.0,30.0,.239
Howard,22,12,10,.545,-7.02,-2.91,4,1,8,2,3,6,1616,1605,72.3,100.9,.339,.396,.555,49.4,50.7,12.2,8.0,.530,19.8,29.4,.229
Idaho,21,8,13,.381,-7.19,-4.08,2,6,5,5,3,8,1594,1505,68.1,104.6,.337,.302,.551,50.6,41.9,9.0,8.5,.516,15.2,26.0,.246
Idaho State,20,7,13,.350,-6.43,-2.60,4,3,5,4,2,8,1374,1394,66.7,102.5,.354,.331,.535,52.7,47.5,8.8,7.3,.487,16.2,28.0,.276
Illinois,20,14,6,.700,16.35,4.80,5,4,10,2,2,2,1517,1286,70.2,91.0,.302,.296,.483,46.0,46.5,9.9,7.8,.448,17.7,27.2,.209


Illinois State,22,8,14,.364,-5.54,-2.82,3,8,5,5,3,5,1451,1511,65.8,102.6,.351,.369,.535,47.6,48.2,10.1,10.6,.505,15.0,26.1,.239
Illinois-Chicago,22,9,13,.409,-8.08,-2.75,1,10,5,5,2,8,1466,1544,69.6,100.3,.334,.338,.528,54.9,52.9,9.2,12.5,.491,17.9,30.9,.240
Incarnate Word,20,8,12,.400,-16.09,-7.32,2,6,4,4,2,9,1414,1470,70.4,103.1,.341,.372,.559,51.4,55.0,10.0,7.2,.527,18.9,30.0,.245
Indiana,20,14,6,.700,15.79,4.79,5,4,10,1,3,4,1565,1345,70.4,95.6,.284,.374,.497,46.3,48.2,10.2,6.6,.470,15.4,25.4,.189
Indiana State,22,13,9,.591,3.10,-2.95,6,5,7,3,4,5,1705,1541,72.1,96.6,.346,.345,.519,49.7,37.2,8.2,11.0,.477,16.8,24.2,.253
Iona,19,13,6,.684,8.35,-0.66,6,2,6,1,2,3,1452,1281,70.0,95.7,.343,.329,.503,50.1,55.0,7.0,6.7,.463,17.9,31.0,.244
Iowa,19,12,7,.632,14.58,6.37,4,4,9,2,2,3,1553,1397,70.9,102.3,.198,.322,.533,48.4,47.6,8.4,8.3,.511,16.1,28.2,.145
Iowa State,19,15,4,.789,18.74,7.21,6,2,11,0,2,3,1350,1131,66.2,89.4,.393,.458,.524,48.0,56.3,10.4,7.1,.482,24.7,28.4,.279
IUPUI,22,3,19,.136,-20.28,-4.78,0,11,2,7,0,9,1389,1663,67.6,111.2,.322,.405,.581,51.9,56.0,11.9,7.9,.545,16.3,31.3,.248
Jackson State,20,6,14,.300,-11.72,-1.32,5,2,4,0,2,12,1320,1528,71.9,105.8,.374,.412,.575,49.9,56.8,11.4,12.1,.539,18.0,29.0,.275
Jacksonville,19,11,8,.579,-3.71,-0.71,4,4,7,1,4,7,1230,1162,62.8,97.4,.234,.484,.495,47.2,53.7,10.0,8.5,.467,13.9,25.1,.166
Jacksonville State,21,8,13,.381,-9.82,-1.82,1,7,6,3,1,9,1446,1488,66.0,106.7,.284,.475,.558,48.4,58.6,9.2,7.9,.527,15.7,26.2,.213
James Madison,21,13,8,.619,7.02,-2.04,4,4,6,2,5,5,1774,1417,73.5,89.7,.309,.392,.506,46.5,48.9,10.3,8.1,.478,21.9,27.9,.204
Kansas,20,16,4,.800,18.60,10.15,5,3,10,1,3,2,1518,1349,69.7,95.6,.320,.376,.505,48.3,46.7,8.9,8.7,.467,18.2,29.0,.230
Kansas City,21,8,13,.381,-5.45,-1.61,4,4,4,4,2,8,1394,1411,66.3,99.6,.367,.414,.519,47.1,51.3,10.0,8.8,.474,16.8,30.5,.271
Kansas State,20,17,3,.850,16.18,6.53,6,2,11,0,3,3,1556,1363,69.8,95.3,.365,.350,.509,48.9,55.5,9.8,9.3,.474,18.8,31.5,.246
Kennesaw State,21,15,6,.714,-1.61,-1.72,7,1,8,0,6,5,1569,1441,70.0,97.4,.358,.393,.530,49.6,46.5,9.9,9.3,.500,19.2,27.1,.241
Kent State,20,16,4,.800,8.82,-0.23,6,1,9,0,6,4,1505,1271,70.4,90.3,.349,.405,.498,51.0,51.6,8.2,6.4,.458,20.9,29.7,.245
